threshold,cons_bars,trail_pct,base_wr,trail_wr,comb_wr,n_signals,n_long,n_short,wr_long,wr_short
70,2,2.0,76.1,51.3,78.3,456,216,240,73.6,78.3
70,2,2.5,76.1,52.2,78.3,456,216,240,73.6,78.3
70,2,3.0,76.1,53.1,78.3,456,216,240,73.6,78.3
70,2,4.0,76.1,53.1,78.3,456,216,240,73.6,78.3
70,2,1.5,76.1,49.8,77.9,456,216,240,73.6,78.3
70,3,2.0,75.7,52.2,77.9,362,171,191,71.9,79.1
70,3,2.5,75.7,53.0,77.9,362,171,191,71.9,79.1
70,3,3.0,75.7,53.9,77.9,362,171,191,71.9,79.1
70,3,4.0,75.7,53.9,77.9,362,171,191,71.9,79.1
70,1,2.0,75.4,50.0,77.5,610,286,324,72.7,77.8
70,1,2.5,75.4,51.1,77.5,610,286,324,72.7,77.8
70,1,3.0,75.4,52.0,77.5,610,286,324,72.7,77.8
70,1,4.0,75.4,52.1,77.5,610,286,324,72.7,77.8
70,2,1.0,76.1,45.6,77.4,456,216,240,73.6,78.3
70,3,1.5,75.7,50.8,77.3,362,171,191,71.9,79.1
70,1,1.5,75.4,48.5,77.2,610,286,324,72.7,77.8
75,3,2.0,74.3,51.8,77.2,272,132,140,68.2,80.0
75,3,2.5,74.3,52.9,77.2,272,132,140,68.2,80.0
75,3,3.0,74.3,53.7,77.2,272,132,140,68.2,80.0
75,3,4.0,74.3,53.7,77.2,272,132,140,68.2,80.0
70,1,1.0,75.4,43.3,76.9,610,286,324,72.7,77.8
70,3,1.0,75.7,47.8,76.8,362,171,191,71.9,79.1
75,3,1.5,74.3,51.5,76.5,272,132,140,68.2,80.0
75,2,2.0,73.6,50.0,76.4,360,175,185,70.9,76.2
75,2,2.5,73.6,50.8,76.4,360,175,185,70.9,76.2
75,2,3.0,73.6,51.7,76.4,360,175,185,70.9,76.2
75,2,4.0,73.6,51.7,76.4,360,175,185,70.9,76.2
75,1,2.0,73.6,48.9,76.3,497,239,258,71.1,76.0
75,1,2.5,73.6,49.7,76.3,497,239,258,71.1,76.0
